Store,Date,Weekly_Sales,Month,Year
1,2011-11-18,1539483.7,November,2011
1,2011-11-25,2033320.66,November,2011
1,2011-12-02,1584083.95,December,2011
1,2011-12-09,1799682.38,December,2011
1,2011-12-16,1881176.67,December,2011
1,2011-12-23,2270188.99,December,2011
1,2011-12-30,1497462.72,December,2011
1,2012-01-06,1550369.92,January,2012
1,2012-01-13,1459601.17,January,2012
1,2012-01-20,1394393.84,January,2012
1,2012-01-27,1319325.59,January,2012
1,2012-02-03,1636339.65,February,2012
1,2012-02-10,1802477.43,February,2012
1,2012-02-17,1819870.0,February,2012
1,2012-02-24,1539387.83,February,2012
1,2012-03-02,1688420.76,March,2012
1,2012-03-09,1675431.16,March,2012
1,2012-03-16,1677472.78,March,2012
1,2012-03-23,1511068.07,March,2012
1,2012-03-30,1649604.63,March,2012
1,2012-04-06,1899676.88,April,2012
1,2012-04-13,1621031.7,April,2012
1,2012-04-20,1521577.87,April,2012
1,2012-04-27,1468928.37,April,2012
1,2012-05-04,1684519.99,May,2012
1,2012-05-11,1611096.05,May,2012
1,2012-05-18,1595901.87,May,2012
1,2012-05-25,1555444.55,May,2012
1,2012-06-01,1624477.58,June,2012
1,2012-06-08,1697230.96,June,2012
1,2012-06-15,1630607.0,June,2012
1,2012-06-22,1527845.81,June,2012
1,2012-06-29,1540421.49,June,2012
1,2012-07-06,1769854.16,July,2012
1,2012-07-13,1527014.04,July,2012
1,2012-07-20,1497954.76,July,2012
1,2012-07-27,1439123.71,July,2012
1,2012-08-03,1631135.79,August,2012
1,2012-08-10,1592409.97,August,2012
1,2012-08-17,1597868.05,August,2012
1,2012-08-24,1494122.38,August,2012
1,2012-08-31,1582083.4,August,2012
1,2012-09-07,1661767.33,September,2012
1,2012-09-14,1517428.87,September,2012
1,2012-09-21,1506126.06,September,2012
1,2012-09-28,1437059.26,September,2012
1,2012-10-05,1670785.97,October,2012
1,2012-10-12,1573072.81,October,2012
1,2012-10-19,1508068.77,October,2012
1,2012-10-26,1493659.74,October,2012
2,2010-02-05,2136989.46,February,2010
2,2010-02-12,2137809.5,February,2010
2,2010-02-19,2124451.54,February,2010
2,2010-02-26,1865097.27,February,2010
2,2010-03-05,1991013.13,March,2010
2,2010-03-12,1990483.78,March,2010
2,2010-03-19,1946070.88,March,2010
2,2010-03-26,1750197.81,March,2010
2,2010-04-02,2066187.72,April,2010
2,2010-04-09,1954689.21,April,2010
2,2010-04-16,1874957.94,April,2010
2,2010-04-23,1821990.93,April,2010
2,2010-04-30,1802450.29,April,2010
2,2010-05-07,2042581.71,May,2010
2,2010-05-14,1880752.36,May,2010
2,2010-05-21,1896937.1,May,2010
2,2010-05-28,1957113.89,May,2010
2,2010-06-04,2102539.93,June,2010
2,2010-06-11,2025538.76,June,2010
2,2010-06-18,2001636.96,June,2010
2,2010-06-25,1939927.09,June,2010
2,2010-07-02,2003940.64,July,2010
2,2010-07-09,1880902.62,July,2010
2,2010-07-16,1845879.79,July,2010
2,2010-07-23,1781717.71,July,2010
2,2010-07-30,1804246.16,July,2010
2,2010-08-06,1991909.98,August,2010
2,2010-08-13,1895601.05,August,2010
2,2010-08-20,1964335.23,August,2010
2,2010-08-27,1863840.49,August,2010
2,2010-09-03,1904608.09,September,2010
2,2010-09-10,1839128.83,September,2010
2,2010-09-17,1793903.6,September,2010
2,2010-09-24,1724557.22,September,2010
2,2010-10-01,1827440.43,October,2010
2,2010-10-08,1849921.44,October,2010
2,2010-10-15,1794355.49,October,2010
2,2010-10-22,1737947.64,October,2010
2,2010-10-29,1802755.11,October,2010
2,2010-11-05,1939061.41,November,2010
2,2010-11-12,1916812.74,November,2010
2,2010-11-19,1956739.17,November,2010
2,2010-11-26,2658725.29,November,2010
2,2010-12-03,2015781.27,December,2010
2,2010-12-10,2378726.55,December,2010
2,2010-12-17,2609166.75,December,2010
2,2010-12-24,3436007.68,December,2010
2,2010-12-31,1750434.55,December,2010
2,2011-01-07,1758050.79,January,2011
2,2011-01-14,1744193.58,January,2011
2,2011-01-21,1751384.9,January,2011
2,2011-01-28,1695371.68,January,2011
2,2011-02-04,1929346.23,February,2011
2,2011-02-11,2168041.61,February,2011
2,2011-02-18,2080884.82,February,2011
2,2011-02-25,1833511.08,February,2011
2,2011-03-04,1981607.78,March,2011
2,2011-03-11,1879107.31,March,2011
2,2011-03-18,1902557.66,March,2011
2,2011-03-25,1766162.05,March,2011
2,2011-04-01,1800171.36,April,2011
2,2011-04-08,1847552.61,April,2011
2,2011-04-15,1856467.84,April,2011
2,2011-04-22,1886339.6,April,2011
2,2011-04-29,1745545.28,April,2011
2,2011-05-06,1837743.6,May,2011
2,2011-05-13,1838513.07,May,2011
2,2011-05-20,1688281.86,May,2011
2,2011-05-27,1797732.56,May,2011
2,2011-06-03,1933756.21,June,2011
2,2011-06-10,1929153.16,June,2011
2,2011-06-17,1953771.99,June,2011
2,2011-06-24,1790925.8,June,2011
2,2011-07-01,1866243.0,July,2011
2,2011-07-08,1853161.99,July,2011
2,2011-07-15,1785187.29,July,2011
2,2011-07-22,1743816.41,July,2011
2,2011-07-29,1680693.06,July,2011
2,2011-08-05,1876704.26,August,2011
2,2011-08-12,1812768.26,August,2011
2,2011-08-19,1844094.59,August,2011
2,2011-08-26,1821139.91,August,2011
2,2011-09-02,1809119.7,September,2011
2,2011-09-09,1748000.65,September,2011
2,2011-09-16,1691439.52,September,2011
2,2011-09-23,1669299.78,September,2011
2,2011-09-30,1650394.44,September,2011
2,2011-10-07,1837553.43,October,2011
2,2011-10-14,1743882.19,October,2011
2,2011-10-21,1834680.25,October,2011
2,2011-10-28,1769296.25,October,2011
2,2011-11-04,1959707.9,November,2011
2,2011-11-11,1920725.15,November,2011
2,2011-11-18,1902762.5,November,2011
2,2011-11-25,2614202.3,November,2011
2,2011-12-02,1954952.0,December,2011
2,2011-12-09,2290549.32,December,2011
2,2011-12-16,2432736.52,December,2011
2,2011-12-23,3224369.8,December,2011
2,2011-12-30,1874226.52,December,2011
2,2012-01-06,1799520.14,January,2012
2,2012-01-13,1744725.48,January,2012
2,2012-01-20,1711769.11,January,2012
2,2012-01-27,1660906.14,January,2012
2,2012-02-03,1935299.94,February,2012
2,2012-02-10,2103322.68,February,2012
2,2012-02-17,2196688.46,February,2012
2,2012-02-24,1861802.7,February,2012
2,2012-03-02,1952555.66,March,2012
2,2012-03-09,1937628.26,March,2012
2,2012-03-16,1976082.13,March,2012
2,2012-03-23,1790439.16,March,2012
2,2012-03-30,1857480.84,March,2012
2,2012-04-06,2129035.91,April,2012
2,2012-04-13,1935869.1,April,2012
2,2012-04-20,1847344.45,April,2012
2,2012-04-27,1764133.09,April,2012
2,2012-05-04,1923957.09,May,2012
2,2012-05-11,1917520.99,May,2012
2,2012-05-18,2000940.67,May,2012
2,2012-05-25,1912791.09,May,2012
2,2012-06-01,1910092.37,June,2012
2,2012-06-08,2010216.49,June,2012
2,2012-06-15,1962924.3,June,2012
2,2012-06-22,1887733.21,June,2012
2,2012-06-29,1881046.12,June,2012
2,2012-07-06,2041507.4,July,2012
2,2012-07-13,1830075.13,July,2012
2,2012-07-20,1819666.46,July,2012
2,2012-07-27,1757923.88,July,2012
2,2012-08-03,1946104.64,August,2012
2,2012-08-10,1866719.96,August,2012
2,2012-08-17,1928016.01,August,2012
2,2012-08-24,1876788.15,August,2012
2,2012-08-31,1947083.3,August,2012
2,2012-09-07,1898777.07,September,2012
2,2012-09-14,1814806.63,September,2012
2,2012-09-21,1829415.67,September,2012
2,2012-09-28,1746470.56,September,2012
2,2012-10-05,1998321.04,October,2012
2,2012-10-12,1900745.13,October,2012
2,2012-10-19,1847990.41,October,2012
2,2012-10-26,1834458.35,October,2012
3,2010-02-05,461622.22,February,2010
3,2010-02-12,420728.96,February,2010
3,2010-02-19,421642.19,February,2010
3,2010-02-26,407204.86,February,2010
3,2010-03-05,415202.04,March,2010
3,2010-03-12,384200.69,March,2010
3,2010-03-19,375328.59,March,2010
3,2010-03-26,359949.27,March,2010
3,2010-04-02,423294.4,April,2010
3,2010-04-09,415870.28,April,2010
3,2010-04-16,354993.26,April,2010
3,2010-04-23,339976.65,April,2010
3,2010-04-30,361248.39,April,2010
3,2010-05-07,399323.86,May,2010
3,2010-05-14,384357.94,May,2010
3,2010-05-21,343763.17,May,2010
3,2010-05-28,350089.23,May,2010
3,2010-06-04,396968.8,June,2010
3,2010-06-11,355017.09,June,2010
3,2010-06-18,364076.85,June,2010
3,2010-06-25,357346.48,June,2010
3,2010-07-02,381151.72,July,2010
3,2010-07-09,349214.18,July,2010
3,2010-07-16,352728.78,July,2010
3,2010-07-23,352864.49,July,2010
3,2010-07-30,347955.05,July,2010
3,2010-08-06,402635.76,August,2010
3,2010-08-13,339597.38,August,2010
3,2010-08-20,351728.21,August,2010
3,2010-08-27,362134.09,August,2010
3,2010-09-03,366473.97,September,2010
3,2010-09-10,352260.97,September,2010
3,2010-09-17,363064.64,September,2010
3,2010-09-24,355626.87,September,2010
3,2010-10-01,358784.1,October,2010
3,2010-10-08,395107.35,October,2010
3,2010-10-15,345584.39,October,2010
3,2010-10-22,348895.98,October,2010
3,2010-10-29,348591.74,October,2010
3,2010-11-05,423175.56,November,2010
3,2010-11-12,386635.03,November,2010
3,2010-11-19,372545.32,November,2010
3,2010-11-26,565567.84,November,2010
3,2010-12-03,476420.77,December,2010
3,2010-12-10,467642.03,December,2010
3,2010-12-17,498159.39,December,2010
3,2010-12-24,605990.41,December,2010
3,2010-12-31,382677.76,December,2010
3,2011-01-07,378241.34,January,2011
3,2011-01-14,381061.1,January,2011
3,2011-01-21,350876.7,January,2011
3,2011-01-28,364866.24,January,2011
3,2011-02-04,438516.53,February,2011
3,2011-02-11,430526.21,February,2011
3,2011-02-18,432782.1,February,2011
3,2011-02-25,397211.19,February,2011
3,2011-03-04,437084.51,March,2011
3,2011-03-11,404753.3,March,2011
3,2011-03-18,392109.51,March,2011
3,2011-03-25,380683.67,March,2011
3,2011-04-01,374556.08,April,2011
3,2011-04-08,384075.31,April,2011
3,2011-04-15,366250.69,April,2011
3,2011-04-22,391860.04,April,2011
3,2011-04-29,367405.4,April,2011
3,2011-05-06,413042.12,May,2011
3,2011-05-13,386312.68,May,2011
3,2011-05-20,364603.13,May,2011
3,2011-05-27,369350.6,May,2011
3,2011-06-03,394507.84,June,2011
3,2011-06-10,391638.75,June,2011
3,2011-06-17,403423.34,June,2011
3,2011-06-24,385520.71,June,2011
3,2011-07-01,368962.72,July,2011
3,2011-07-08,395146.24,July,2011
3,2011-07-15,373454.33,July,2011
3,2011-07-22,360617.37,July,2011
3,2011-07-29,345381.29,July,2011
3,2011-08-05,409981.25,August,2011
3,2011-08-12,380376.85,August,2011
3,2011-08-19,379716.91,August,2011
3,2011-08-26,366367.55,August,2011
3,2011-09-02,375988.69,September,2011
3,2011-09-09,377347.49,September,2011
3,2011-09-16,375629.51,September,2011
3,2011-09-23,365248.94,September,2011
3,2011-09-30,368477.93,September,2011
3,2011-10-07,403342.4,October,2011
3,2011-10-14,368282.57,October,2011
3,2011-10-21,394976.36,October,2011
3,2011-10-28,389540.62,October,2011
3,2011-11-04,459443.22,November,2011
3,2011-11-11,407764.25,November,2011
3,2011-11-18,398838.97,November,2011
3,2011-11-25,556925.19,November,2011
3,2011-12-02,472511.32,December,2011
3,2011-12-09,468772.8,December,2011
3,2011-12-16,510747.62,December,2011
3,2011-12-23,551221.21,December,2011
3,2011-12-30,410553.88,December,2011
3,2012-01-06,398178.21,January,2012
3,2012-01-13,367438.62,January,2012
3,2012-01-20,365818.61,January,2012
3,2012-01-27,349518.1,January,2012
3,2012-02-03,424960.66,February,2012
3,2012-02-10,473292.47,February,2012
3,2012-02-17,475591.08,February,2012
3,2012-02-24,418925.47,February,2012
3,2012-03-02,469752.56,March,2012
3,2012-03-09,445162.05,March,2012
3,2012-03-16,411775.8,March,2012
3,2012-03-23,413907.25,March,2012
3,2012-03-30,407488.84,March,2012
3,2012-04-06,503232.13,April,2012
3,2012-04-13,420789.74,April,2012
3,2012-04-20,434822.13,April,2012
3,2012-04-27,394616.11,April,2012
3,2012-05-04,439913.57,May,2012
3,2012-05-11,431985.36,May,2012
3,2012-05-18,418112.76,May,2012
3,2012-05-25,413701.29,May,2012
3,2012-06-01,432268.53,June,2012
3,2012-06-08,446336.8,June,2012
3,2012-06-15,442074.79,June,2012
3,2012-06-22,419497.95,June,2012
3,2012-06-29,422965.33,June,2012
3,2012-07-06,411206.5,July,2012
3,2012-07-13,416913.1,July,2012
3,2012-07-20,432424.85,July,2012
3,2012-07-27,389427.9,July,2012
3,2012-08-03,419990.29,August,2012
3,2012-08-10,391811.6,August,2012
3,2012-08-17,394918.83,August,2012
3,2012-08-24,412449.67,August,2012
3,2012-08-31,408838.73,August,2012
3,2012-09-07,408229.73,September,2012
3,2012-09-14,407589.16,September,2012
3,2012-09-21,414392.09,September,2012
3,2012-09-28,389813.02,September,2012
3,2012-10-05,443557.65,October,2012
3,2012-10-12,410804.39,October,2012
3,2012-10-19,424513.08,October,2012
3,2012-10-26,405432.7,October,2012
4,2010-02-05,2135143.87,February,2010
4,2010-02-12,2188307.39,February,2010
4,2010-02-19,2049860.26,February,2010
4,2010-02-26,1925728.84,February,2010
4,2010-03-05,1971057.44,March,2010
4,2010-03-12,1894324.09,March,2010
4,2010-03-19,1897429.36,March,2010
4,2010-03-26,1762539.3,March,2010
4,2010-04-02,1979247.12,April,2010
4,2010-04-09,1818452.72,April,2010
4,2010-04-16,1851519.69,April,2010
4,2010-04-23,1802677.9,April,2010
4,2010-04-30,1817273.28,April,2010
4,2010-05-07,2000626.14,May,2010
4,2010-05-14,1875597.28,May,2010
4,2010-05-21,1903752.6,May,2010
4,2010-05-28,1857533.7,May,2010
4,2010-06-04,1903290.58,June,2010
4,2010-06-11,1870619.23,June,2010
4,2010-06-18,1929736.35,June,2010
4,2010-06-25,1846651.95,June,2010
4,2010-07-02,1881337.21,July,2010
4,2010-07-09,1812208.22,July,2010
4,2010-07-16,1898427.66,July,2010
4,2010-07-23,1848426.78,July,2010
4,2010-07-30,1796637.61,July,2010
4,2010-08-06,1907638.58,August,2010
4,2010-08-13,2007050.75,August,2010
4,2010-08-20,1997181.09,August,2010
4,2010-08-27,1848403.92,August,2010
4,2010-09-03,1935857.58,September,2010
4,2010-09-10,1865820.81,September,2010
4,2010-09-17,1899959.61,September,2010
4,2010-09-24,1810684.68,September,2010
4,2010-10-01,1842821.02,October,2010
4,2010-10-08,1951494.85,October,2010
4,2010-10-15,1867345.09,October,2010
4,2010-10-22,1927610.06,October,2010
4,2010-10-29,1933333.0,October,2010
4,2010-11-05,2013115.79,November,2010
4,2010-11-12,1999794.26,November,2010
4,2010-11-19,2097809.4,November,2010
4,2010-11-26,2789469.45,November,2010
4,2010-12-03,2102530.17,December,2010
4,2010-12-10,2302504.86,December,2010
4,2010-12-17,2740057.14,December,2010
4,2010-12-24,3526713.39,December,2010
4,2010-12-31,1794868.74,December,2010
4,2011-01-07,1862476.27,January,2011
4,2011-01-14,1865502.46,January,2011
4,2011-01-21,1886393.94,January,2011
4,2011-01-28,1814240.85,January,2011
4,2011-02-04,2119086.04,February,2011
4,2011-02-11,2187847.29,February,2011
4,2011-02-18,2316495.56,February,2011
4,2011-02-25,2078094.69,February,2011
4,2011-03-04,2103455.75,March,2011
4,2011-03-11,2039818.41,March,2011
4,2011-03-18,2116475.38,March,2011
4,2011-03-25,1944164.32,March,2011
4,2011-04-01,1900246.47,April,2011
4,2011-04-08,2074953.46,April,2011
4,2011-04-15,1960587.76,April,2011
4,2011-04-22,2220600.76,April,2011
4,2011-04-29,1878167.44,April,2011
4,2011-05-06,2063682.76,May,2011
4,2011-05-13,2002362.37,May,2011
4,2011-05-20,2015563.48,May,2011
4,2011-05-27,1986597.95,May,2011
4,2011-06-03,2065377.15,June,2011
4,2011-06-10,2073951.38,June,2011
4,2011-06-17,2141210.62,June,2011
4,2011-06-24,2008344.92,June,2011
4,2011-07-01,2051533.53,July,2011
4,2011-07-08,2066541.86,July,2011
4,2011-07-15,2049046.95,July,2011
4,2011-07-22,2036231.39,July,2011
4,2011-07-29,1989674.07,July,2011
4,2011-08-05,2160057.39,August,2011
4,2011-08-12,2105668.74,August,2011
4,2011-08-19,2232892.1,August,2011
4,2011-08-26,1988490.21,August,2011
4,2011-09-02,2078420.31,September,2011
4,2011-09-09,2093139.01,September,2011
4,2011-09-16,2075577.33,September,2011
4,2011-09-23,2031406.41,September,2011
4,2011-09-30,1929486.63,September,2011
4,2011-10-07,2166737.65,October,2011
4,2011-10-14,2074548.85,October,2011
4,2011-10-21,2207742.13,October,2011
4,2011-10-28,2151659.59,October,2011
4,2011-11-04,2281217.31,November,2011
4,2011-11-11,2203028.96,November,2011
4,2011-11-18,2243946.59,November,2011
4,2011-11-25,3004702.33,November,2011
4,2011-12-02,2180999.26,December,2011
4,2011-12-09,2508955.24,December,2011
4,2011-12-16,2771397.17,December,2011
4,2011-12-23,3676388.98,December,2011
4,2011-12-30,2007105.86,December,2011
4,2012-01-06,2047766.07,January,2012
4,2012-01-13,1941676.61,January,2012
4,2012-01-20,2005097.76,January,2012
4,2012-01-27,1928720.51,January,2012
4,2012-02-03,2173373.91,February,2012
4,2012-02-10,2374660.64,February,2012
4,2012-02-17,2427640.17,February,2012
4,2012-02-24,2226662.17,February,2012
4,2012-03-02,2206319.9,March,2012
4,2012-03-09,2202450.81,March,2012
4,2012-03-16,2214967.44,March,2012
4,2012-03-23,2091592.54,March,2012
4,2012-03-30,2089381.77,March,2012
4,2012-04-06,2470206.13,April,2012
4,2012-04-13,2105301.39,April,2012
4,2012-04-20,2144336.89,April,2012
4,2012-04-27,2064065.66,April,2012
4,2012-05-04,2196968.33,May,2012
4,2012-05-11,2127661.17,May,2012
4,2012-05-18,2207214.81,May,2012
4,2012-05-25,2154137.67,May,2012
4,2012-06-01,2179360.94,June,2012
4,2012-06-08,2245257.18,June,2012
4,2012-06-15,2234190.93,June,2012
4,2012-06-22,2197299.65,June,2012
4,2012-06-29,2128362.92,June,2012
4,2012-07-06,2224499.28,July,2012
4,2012-07-13,2100252.61,July,2012
4,2012-07-20,2175563.69,July,2012
4,2012-07-27,2048613.65,July,2012
4,2012-08-03,2174514.13,August,2012
4,2012-08-10,2193367.69,August,2012
4,2012-08-17,2283540.3,August,2012
4,2012-08-24,2125241.68,August,2012
4,2012-08-31,2081181.35,August,2012
4,2012-09-07,2125104.72,September,2012
4,2012-09-14,2117854.6,September,2012
4,2012-09-21,2119438.53,September,2012
4,2012-09-28,2027620.23,September,2012
4,2012-10-05,2209835.43,October,2012
4,2012-10-12,2133026.07,October,2012
4,2012-10-19,2097266.85,October,2012
4,2012-10-26,2149594.46,October,2012
5,2010-02-05,317173.1,February,2010
5,2010-02-12,311825.7,February,2010
5,2010-02-19,303447.57,February,2010
5,2010-02-26,270281.63,February,2010
5,2010-03-05,288855.71,March,2010
5,2010-03-12,297293.59,March,2010
5,2010-03-19,281706.41,March,2010
5,2010-03-26,273282.97,March,2010
5,2010-04-02,331406.0,April,2010
5,2010-04-09,328020.49,April,2010
5,2010-04-16,306858.69,April,2010
5,2010-04-23,288839.73,April,2010
5,2010-04-30,298697.84,April,2010
5,2010-05-07,333522.6,May,2010
5,2010-05-14,296673.77,May,2010
5,2010-05-21,301615.49,May,2010
5,2010-05-28,310013.11,May,2010
5,2010-06-04,337825.89,June,2010
5,2010-06-11,296641.91,June,2010
5,2010-06-18,313795.6,June,2010
5,2010-06-25,295257.3,June,2010
5,2010-07-02,305993.27,July,2010
5,2010-07-09,291808.87,July,2010
5,2010-07-16,280701.7,July,2010
5,2010-07-23,274742.63,July,2010
5,2010-07-30,268929.03,July,2010
5,2010-08-06,303043.02,August,2010
5,2010-08-13,286477.35,August,2010
5,2010-08-20,287205.38,August,2010
5,2010-08-27,288519.75,August,2010
5,2010-09-03,323798.0,September,2010
5,2010-09-10,306533.08,September,2010
5,2010-09-17,282558.65,September,2010
5,2010-09-24,293131.58,September,2010
5,2010-10-01,283178.12,October,2010
5,2010-10-08,290494.85,October,2010
5,2010-10-15,280681.2,October,2010
5,2010-10-22,284988.27,October,2010
5,2010-10-29,278031.81,October,2010
5,2010-11-05,325310.3,November,2010
5,2010-11-12,301827.36,November,2010
5,2010-11-19,297384.81,November,2010
5,2010-11-26,488362.61,November,2010
5,2010-12-03,344490.88,December,2010
5,2010-12-10,352811.53,December,2010
5,2010-12-17,367801.19,December,2010
5,2010-12-24,466010.25,December,2010
5,2010-12-31,298180.18,December,2010
5,2011-01-07,286347.26,January,2011
5,2011-01-14,260636.71,January,2011
5,2011-01-21,275313.34,January,2011
5,2011-01-28,279088.39,January,2011
5,2011-02-04,329613.2,February,2011
5,2011-02-11,311590.54,February,2011
5,2011-02-18,356622.61,February,2011
5,2011-02-25,294659.5,February,2011
5,2011-03-04,329033.66,March,2011
5,2011-03-11,293098.1,March,2011
5,2011-03-18,312177.67,March,2011
5,2011-03-25,294732.5,March,2011
5,2011-04-01,314316.55,April,2011
5,2011-04-08,307333.62,April,2011
5,2011-04-15,307913.58,April,2011
5,2011-04-22,328415.44,April,2011
5,2011-04-29,307291.56,April,2011
5,2011-05-06,322904.68,May,2011
5,2011-05-13,290930.01,May,2011
5,2011-05-20,299614.33,May,2011
5,2011-05-27,297149.69,May,2011
5,2011-06-03,329183.92,June,2011
5,2011-06-10,304984.14,June,2011
5,2011-06-17,304811.82,June,2011
5,2011-06-24,302881.64,June,2011
5,2011-07-01,327093.89,July,2011
5,2011-07-08,310804.93,July,2011
5,2011-07-15,283248.62,July,2011
5,2011-07-22,292539.73,July,2011
5,2011-07-29,275142.17,July,2011
5,2011-08-05,317738.56,August,2011
5,2011-08-12,289886.16,August,2011
5,2011-08-19,303643.84,August,2011
5,2011-08-26,310338.17,August,2011
5,2011-09-02,315645.53,September,2011
5,2011-09-09,321110.22,September,2011
5,2011-09-16,278529.71,September,2011
5,2011-09-23,291024.98,September,2011
5,2011-09-30,292315.38,September,2011
5,2011-10-07,309111.47,October,2011
5,2011-10-14,286117.72,October,2011
5,2011-10-21,306069.18,October,2011
5,2011-10-28,307035.11,October,2011
5,2011-11-04,353652.23,November,2011
5,2011-11-11,311906.7,November,2011
5,2011-11-18,307944.37,November,2011
5,2011-11-25,507900.07,November,2011
5,2011-12-02,376225.61,December,2011
5,2011-12-09,367433.77,December,2011
5,2011-12-16,379530.3,December,2011
5,2011-12-23,458562.24,December,2011
5,2011-12-30,349624.88,December,2011
5,2012-01-06,312078.71,January,2012
5,2012-01-13,291454.52,January,2012
5,2012-01-20,287523.98,January,2012
5,2012-01-27,295974.22,January,2012
5,2012-02-03,333948.0,February,2012
5,2012-02-10,349239.88,February,2012
5,2012-02-17,356427.98,February,2012
5,2012-02-24,312220.47,February,2012
5,2012-03-02,359206.21,March,2012
5,2012-03-09,347295.6,March,2012
5,2012-03-16,339392.54,March,2012
5,2012-03-23,321299.99,March,2012
5,2012-03-30,331318.73,March,2012
5,2012-04-06,402985.7,April,2012
5,2012-04-13,351832.03,April,2012
5,2012-04-20,330063.06,April,2012
5,2012-04-27,324839.74,April,2012
5,2012-05-04,360932.69,May,2012
5,2012-05-11,333870.52,May,2012
5,2012-05-18,336189.66,May,2012
5,2012-05-25,341994.48,May,2012
5,2012-06-01,359867.8,June,2012
5,2012-06-08,341704.59,June,2012
5,2012-06-15,327383.64,June,2012
5,2012-06-22,325041.68,June,2012
5,2012-06-29,329658.1,June,2012
5,2012-07-06,341214.43,July,2012
5,2012-07-13,316203.64,July,2012
5,2012-07-20,321205.12,July,2012
5,2012-07-27,306827.36,July,2012
5,2012-08-03,324195.17,August,2012
5,2012-08-10,306759.7,August,2012
5,2012-08-17,314014.18,August,2012
5,2012-08-24,320831.36,August,2012
5,2012-08-31,344642.01,August,2012
5,2012-09-07,350648.91,September,2012
5,2012-09-14,299800.67,September,2012
5,2012-09-21,307306.76,September,2012
5,2012-09-28,310141.68,September,2012
5,2012-10-05,343048.29,October,2012
